IMEI,Fecha,Latitud,Longitud,Velocidad (km/h),Zonas,Velocidad Maxima,Exceso de Velocidad,Link maps
867730054112135,04/08/2025 00:00:00,lat -49.304794,lng -67.762291,0.00,Oficinas,,No,"https://www.google.com/maps/search/?api=1&query=-49.304794,-67.762291"
867730054112135,04/08/2025 08:13:11,lat -49.304794,lng -67.762291,0.00,Oficinas,,No,"https://www.google.com/maps/search/?api=1&query=-49.304794,-67.762291"
867730054112135,04/08/2025 08:13:20,lat -49.304794,lng -67.762291,0.00,Oficinas,,No,"https://www.google.com/maps/search/?api=1&query=-49.304794,-67.762291"
867730054112135,04/08/2025 08:13:44,lat -49.304794,lng -67.762291,0.00,Oficinas,,No,"https://www.google.com/maps/search/?api=1&query=-49.304794,-67.762291"
867730054112135,04/08/2025 08:13:48,lat -49.304794,lng -67.762291,0.00,Oficinas,,No,"https://www.google.com/maps/search/?api=1&query=-49.304794,-67.762291"
867730054112135,04/08/2025 08:13:52,lat -49.304794,lng -67.762291,0.00,Oficinas,,No,"https://www.google.com/maps/search/?api=1&query=-49.304794,-67.762291"
867730054112135,04/08/2025 08:13:56,lat -49.304794,lng -67.762291,0.00,Oficinas,,No,"https://www.google.com/maps/search/?api=1&query=-49.304794,-67.762291"
867730054112135,04/08/2025 08:13:56,lat -49.304794,lng -67.762291,0.00,Oficinas,,No,"https://www.google.com/maps/search/?api=1&query=-49.304794,-67.762291"
867730054112135,04/08/2025 08:14:15,lat -49.304794,lng -67.762291,0.00,Oficinas,,No,"https://www.google.com/maps/search/?api=1&query=-49.304794,-67.762291"
867730054112135,04/08/2025 08:14:15,lat -49.304794,lng -67.762291,0.00,Oficinas,,No,"https://www.google.com/maps/search/?api=1&query=-49.304794,-67.762291"
867730054112135,04/08/2025 08:14:28,lat -49.304794,lng -67.762291,0.00,Oficinas,,No,"https://www.google.com/maps/search/?api=1&query=-49.304794,-67.762291"
867730054112135,04/08/2025 08:14:28,lat -49.304794,lng -67.762291,0.00,Oficinas,,No,"https://www.google.com/maps/search/?api=1&query=-49.304794,-67.762291"
867730054112135,04/08/2025 08:14:28,lat -49.304794,lng -67.762291,0.00,Oficinas,,No,"https://www.google.com/maps/search/?api=1&query=-49.304794,-67.762291"
